snomedid|term
P1-3153A|Replacement of transvenous atrial pacemaker electrode leads
P7-60840|Muscle-testing with torque curves during isometric and isokinetic exercise
P1-19358|Excision of lesion of tendon of toes
P5-70602|Diagnostic radiography of pelvis, stereo views
P1-B6120|Incision of umbilicus
P1-B6120|Umbilical incision
P1-71590|Implant of mechanical kidney
P1-71590|Artificial kidney implant
P5-36312|Venography of upper extremity, unilateral
P1-86421|Surgical treatment of missed abortion of first trimester
P1-75102|Incision and exploration of urethra
P3-63550|T-cell antigen detection
P3-63550|T-cell antigen detection, NOS
P3-63550|Lymphocyte T cell evaluation
P1-74580|Instillation of bladder
P1-74580|Instillation of bladder, NOS
P1-74580|Instillation of urinary bladder
P1-A9334|Excision of lesion of ocular tendon
P1-17D35|Transposition of tendon of hand
P1-17D35|Hand tendon transposition
P1-17D35|Hand tendon transposition, NOS
P1-17D35|Transposition of tendon of hand, NOS
P1-40890|Repair of syndactyly
P1-40890|Correction of syndactyly
P1-40890|Repair of syndactyly, NOS
P1-40890|Correction of syndactyly, NOS
P1-38341|Excision of lesion of vein of upper limb
P1-0C224|Galvanocauterization
P1-0C224|Galvanocauterisation
P1-0C224|Galvanocautery
P1-A6134|Division of vitreous cicatricial bands by anterior approach
P2-50300|Medical procedure on tongue
P2-50300|Medical procedure on tongue, NOS
P2-41130|Photochemotherapy with tar and petrolatum
P3-73952|Bilirubin, total measurement
P3-73952|Total bilirubin level
P3-73952|Total bilirubin
P1-1982C|Hoke operation
P1-1982C|Hoke fusion
P1-1982C|Hoke hindfoot fusion
P1-86F31|Partial breech delivery
P1-43864|Augmentation of buttock
P1-43864|Fanny-lift operation
P1-83846|Interposition operation for uterine suspension
P1-5673E|Diagnostic endoscopic examination of duodenum and biopsy of lesion of duodenum
P1-7A122|Unilateral vasotomy
P1-74E10|Dilation of bladder
P1-74E10|Urinary bladder distension procedure
P1-74E10|Therapeutic overdistension of bladder
P1-74E10|Dilation of urinary bladder
P1-74530|Replacement of bladder catheter
P8-52020|Recement inlay
P1-34373|Excision of lesion of thoracoabdominal aorta with interposition graft replacement
P1-95908|Epiperineural suturing of peripheral nerve
P2-50030|Deworming
P2-50030|Deworming, NOS
P2-50030|Worming by anthelminthic
P1-79142|Incision and drainage of epididymis
P1-10A64|Lucas and Murray operation
P2-40036|Dermographia test
P2-40036|Artificial urticaria test
P0-058E7|Primary open repair of ruptured Achilles tendon
P8-70150|Mucogingival surgery, per quadrant
P1-17A8D|Implantation of joint of finger
P1-86054|Anal sphincteroplasty for current obstetrical laceration
P1-86054|Repair of obstetric laceration of anal sphincter
P5-B8226|Echography, scan B-mode for fetal age determination
P1-55710|Transabdominal gastroscopy
P1-55710|Operative endoscopy of stomach
P1-10172|Division of fascia
P1-10172|Incision of fascia with division
P1-10172|Fasciotomy, NOS
P1-10172|Division fasciotomy
P1-10172|Division of fascia, NOS
P1-10172|Fasciotomy
P2-A0025|Eye examination under anesthesia, limited
P2-A0025|Eye examination under anaesthesia, limited
P1-39335|Resection of pericardium for removal of adhesions
P1-83334|Vaginal panhysterectomy
P1-11932|Open reduction of malar and zygomatic fracture
P1-31335|Right ventricular resection for infundibular stenosis with commissurotomy
P1-13302|Wedge osteotomy of vertebra
P1-7473E|Cystoscopy and cystodiathermy
P1-7473E|Unspecified cystoscopy and cystodiathermy
P3-73155|Immunoglobulin G subclass, G4 measurement
P1-93150|Incision of spinal nerve root
P1-93150|Rhizotomy
P1-93150|Radicotomy
P1-93150|Division of spinal nerve root
P1-93150|Transection of spinal nerve root
P1-93150|Spinal rhizotomy
P1-93150|Spinal radiculotomy
P1-93150|Spinal radicotomy
P1-93150|Radiculotomy
P1-93150|Incision of spinal nerve root, NOS
P1-93150|Cutting of spinal nerve root
P1-13E20|Reduction of fracture of spine
P1-13E20|Reduction of fracture of spine, NOS
P1-13E20|Reduction of fracture of vertebra, NOS
P1-13E20|Reduction of fracture of vertebra
P1-13E20|Closed repair of fracture of vertebra, NOS
P3-61800|Fungus serologic study
P3-61800|Serologic test for Fungus
P3-61800|Fungal antibody assay, NOS
P3-61800|Serologic test for fungus
P3-61800|Fungus serologic study, NOS
P5-C0602|Surface brachytherapy
P5-C0602|Surface brachytherapy, NOS
P5-C0602|Surface application of radioelement
P5-C0602|Surface radioactive source application
P1-55161|Truncal vagotomy with pyloroplasty and gastrostomy
P5-D0026|Radionuclide tissue clearance study
P1-10401|Aspiration of soft tissue
P1-10401|Aspiration of soft tissue, NOS
P2-35106|Left ventricular recording
P1-B2104|Exploration of descending aorta
P3-62314|Fluorescent treponemal absorption test, double staining test
P3-62314|FTA-ABS-DS test
PA-6004D|Patient transfer education
PA-6004D|Teach transfer care
PA-6005E|Fluid volume compliance education
PA-6005E|Teach compliance with fluid volume
P0-0411D|Occupational therapy management
P0-0411D|Occupational therapy care case management
P0-0411D|Manage occupational therapist service
PA-6006A|Physical therapy education
PA-6006A|Teach physical therapist service
PA-60075|Pulse taking education
PA-60075|Teach pulse
PA-60075|Teach pulse taking
P0-04137|Manage mental health treatment
PA-60083|Violence control education
PA-60083|Teach violence prevention
PA-60083|Teach violence control
P3-5050F|Scabies prep
P3-5050F|Microscopic examination for scabies
P0-A0221|Propelling wheelchair training
P0-A0222|Controlling electric wheelchair training
P1-54520|Insertion of catheter into esophagus, permanent tube type
P1-54520|Insertion of catheter into oesophagus, permanent tube type
P1-54520|Intubation of esophagus
P1-54520|Intubation of oesophagus
P1-55722|Oesophagogastroduodenoscopy through stoma
P1-55722|Esophagogastroduodenoscopy through stoma
P2-22393|Pressure controlled ventilation
P2-22393|PCV - Pressure controlled ventilation
P0-00A01|Procedure with a procedure focus
P0-00A02|Procedure with a clinical finding focus
P2-118A4|Recommendation to change mineral intake
P2-118A4|Advice to change mineral intake
P2-118A5|Recommendation to change trace element intake
P2-118A5|Advice to change trace element intake
P2-118A7|Recommendation to change vitamin intake
P2-118A7|Advice to change vitamin intake
P1-28503|Lung injection
P5-00A11|Nervous system angiography
P5-00A12|Upper limb angiography
P5-00A13|Lower limb angiography
P5-D006D|Tc99m-labelled colloid spleen study - static
P5-D006E|Radionuclide water and electrolyte study
P5-0601D|Fluoroscopy of head
P0-05002|Procedure on integumentary system
P5-0601E|Fluoroscopy of abdomen
P5-0601F|Fluoroscopy of systems
P0-05185|Procedure on perianal tissue
P0-05190|Procedure on umbilicus
P2-68018|Transfusion of fresh frozen plasma
P2-68018|Fresh frozen plasma administration by intravascular infusion
P3-05088|Specimen colour determination
P3-05088|Specimen color determination
P3-30544|Polymorphonuclear leukocyte count
P3-30544|Polymorphonuclear leucocyte count
P1-70059|Removal of urinary drainage device
P2-45205|Intramuscular injection of Hepatitis B Virus immune globulin, human
P2-45205|Hepatitis B Virus immune globulin administration by intramuscular injection
P3-32042|Bone marrow myeloid-erythroid ratio determination
P1-67101|Bone marrow incision
P1-3160A|Catheterization of both left and right heart with graft
P1-3160A|Catheterisation of both left and right heart with graft
P1-3160B|Catheterisation of both left and right heart without graft
P1-3160B|Catheterization of both left and right heart without graft
P1-01094|Incision and drainage of head
P1-03099|Surgical removal of foreign body
P1-03099|Operative removal of foreign body
P1-03090|Excision of head structure
P2-52441|Medical procedure on pelvis
P1-AC37B|Schwartze operation
P1-5130F|Oral frenectomy
P1-5130F|Oral fraenectomy
P1-13803|Vertebral column closure
P1-5740A|Total colectomy, ileostomy and closure of rectal stump
P1-1336A|Primary laser excision of lumbar intervertebral disc
P1-1336B|Primary laser excision of cervical intervertebral disc
P1-21309|Nasal septal polypectomy
P1-21309|Nasal septum polypectomy
P1-21309|Excision of polyp of nasal septum
P1-58E17|Dilatation of rectal stricture
P0-00790|Informing patient
P1-A2829|Insertion of silicone plug into lacrimal canaliculus
P1-A2829|Insertion of silicone punctal plug
P1-A2829|Insertion of silicon plug into lacrimal canaliculus
P5-39111|Angioplasty of anterior tibial artery
P5-39112|Angioplasty of posterior tibial artery
P0-05225|Percutaneous epididymal sperm aspiration
P0-05225|PESA - Percutaneous sperm aspiration
P1-A6031|Removal of internal limiting membrane
P1-14D01|Hip joint transplantation
P1-16303|Shoulder excision
P0-051D0|Biopsy of bronchus
P1-168E5|Arm closure
P0-20130|Patient discharge, escaped from custody
PA-12010|Respiratory care and adjustment
PA-12010|Respiratory care and adjustment, NOS
PA-12010|Pulmonary care
PA-12010|Respiratory care
P1-3187E|Closure of atrial septal defect using sutures
P1-3187F|Closure of atrial septal defect using patch
P1-31882|Closure of patent foramen ovale using sutures
P0-20158|Discharge by medical oncologist
P0-2077B|Referral by medical oncologist
P0-2077B|Referral from medical oncologist
P2-1140E|First annual visit by health visitor
P1-10212|Adjustment of external fixator
P1-930CE|Spinal instrumentation
P1-930CE|Instrumentation of spine
P0-057BF|Pericardiocentesis
P1-18548|Removal of previous uncemented total prosthetic replacement of knee joint
P0-20152|Discharge from head injury rehabilitation service
P0-20152|Discharge from head injury rehabilitation
P1-A9815|Recession of rectus eye muscle
P3-34563|Reticulocyte count, hematocrit adjusted
P3-34563|Reticulocyte count, haematocrit adjusted
P1-5B381|Laparoscopic biopsy of liver lesion
P0-055E7|Remove blade jaw implant
P0-055E8|Excision of colocutaneous fistula
P1-51826|Oral vestibuloplasty using graft
P1-31035|Operation on the atrial septum
P1-5782E|Anastomosis of sigmoid colon to anal canal
P1-12506|Trunk implantation
P1-17429|Excision of scalenus anterior
P0-0001C|Provision of special class unit - mainstream school
P0-0001D|Provision of special day school
P0-0001E|Provision of special residential school
P1-37379|Superficial femoral embolectomy
P1-37379|Thrombectomy of superficial femoral artery
P5-3213E|Calibrating aortography
P5-3213E|Calibrating aortogram
P1-3084F|Femoroperoneal reversed vein bypass graft
P1-30851|Ilioanterior tibial bypass graft
P1-14803|Hip joint closure
P1-03144|Debridement of below knee amputation stump
P1-16101|Shoulder incision
P3-0200B|Taking skin swab
P3-0200C|Taking nasal swab
P3-0200C|Taking nose swab
P1-16CFB|Transplantation of tissue of arm
P0-00526|Rubella titer call
P0-00526|Rubella titre call
P0-00527|Cervical smear call
P0-2074E|Referral to school nurse
P0-2074E|Refer to school nurse
P1-A9817|Recession of oblique eye muscle
P1-A9301|Resection of oblique eye muscle
P1-A9303|Resection of rectus eye muscle
P1-57843|Anastomosis of ascending colon to rectum
P1-57844|Anastomosis of transverse colon to rectum
P1-57845|Anastomosis of descending colon to rectum
P1-26708|Diagnostic tracheoscopy
P1-18541|Arthroplasty of knee without cement
P1-18541|Arthroplasty of knee joint not using cement
P1-19A55|Tarsometatarsal fusion
P1-19A55|Tarsometatarsal arthrodesis
P1-25347|Excision vocal cord mucosal cyst
P0-004B0|Application procedure
P0-004B0|Application procedure (administrative)
P1-25421|Laryngoscopic vocal cord polypectomy
P1-25422|Microlaryngoscopic vocal cord polypectomy
P3-729A0|Self-monitoring of blood glucose
P3-729A1|Self-monitoring of urine glucose
P3-729A2|Self-monitoring of blood and urine glucose
P1-5E017|Drainage of pancreas
P1-54368|Oesophagectomy and jejunal interposition
P1-54368|Esophagectomy and jejunal interposition
P1-54369|Esophagectomy and colonic interposition
P1-54369|Oesophagectomy and colonic interposition
P0-20153|Discharge from community rehabilitation service
P0-20153|Discharge from community rehabilitation
P1-5596F|Laparoscopic gastroenterostomy
P1-5E312|Excision of pancreatic cyst
P1-5E312|Resection of pancreatic cyst
P1-5C058|Excision of common hepatic duct
P0-2005E|Discharge by endocrine surgeon
P0-2005F|Discharge by gastrointestinal surgeon
P0-2005F|Discharge by GI surgeon
P0-20060|Discharge by general gastrointestinal surgeon
P0-20060|Discharge by general GI surgeon
P0-20093|Discharge by hospital-based midwife
P0-20093|Discharge by hospital midwife
P0-20094|Discharge by educational psychologist
P0-200C2|Discharge from clinical allergy service
P0-200C3|Discharge from audiology service
P0-200C4|Discharge from cardiology service
P0-200C5|Discharge from chest medicine service
P0-200F0|Discharge from occupational health service
P0-200F1|Discharge from psychotherapy service
P0-200F2|Discharge from professionals allied to medicine service
P0-200F3|Discharge from arts therapy service
P1-35103|Neck artery incision
P0-2084D|Referral to memory clinic
P3-60233|Anti cartilage antibody level
P3-60233|Cartilage antibody measurement
P3-6712E|Anti lysozyme antibody level
P3-6712E|Lysozyme antibody measurement
P0-00130|Diagnostic procedure on female genital system
P0-05273|Procedure on serous sac
P0-0519A|Procedure on female genital organ
P1-54320|Removal of foreign body from digestive system
P1-72300|Removal of foreign body from genitourinary system
P1-93440|Removal of foreign body from central nervous system
P3-50701|Test for molds
P3-50701|Test for moulds
P1-25716|Indirect laryngoscopy with removal of lesion
P1-01096|Incision and drainage of trunk
P1-01095|Incision and drainage of neck
P1-4836E|Halsted mastectomy
P5-00042|Diagnostic radiography, combined AP and lateral
P3-60190|Anti-IgA assay
P3-60190|IgA antibody level
P3-60190|IgA antibody measurement
P3-71002|Drug measurement
P3-79003|Anabolic steroid identification
P3-79005|Anticonvulsant identification
P0-20705|Referral to acute pain service
P0-20706|Referral to rehabilitation service
P0-20091|Discharge by midwife
P0-20092|Discharge by community-based midwife
P0-20092|Discharge by community midwife
P0-200BF|Discharge from adult intensive care service
P0-200BF|Discharge from adult ITU service
P0-200C0|Discharge from pediatric intensive care service
P0-200C0|Discharge from paediatric intensive care service
P0-200C0|Discharge from paediatric ITU
P0-200C0|Discharge from pediatric ITU
P0-200C1|Discharge from medical service
P0-200EE|Discharge from haematology service
P0-200EE|Discharge from hematology service
P0-200EF|Discharge from pain management service
P0-20123|Discharge from orthopedic service
